Scientific_Name,Missing_Status,Years_Missing,Last_Record_Year,Last_Record_Date,Last_Known_Latitude,Last_Known_Longitude,Last_Known_Reserve,First_Record_Year,First_Record_Date,First_Known_Latitude,First_Known_Longitude,First_Known_Reserve,Record_Span_Years,Total_Records,GPS_Locations,All_Reserves_Found,Geographic_Range_Lat,Geographic_Range_Lon,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
Boronia ledifolia,Missing,26,1999,1999-04-21,-33.970898,151.026255,Not in a reserve,1999,1999-04-21,-33.970898,151.026255,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Dichelachne rara,Missing,26,1999,1999-06-28,-33.909506,150.979817,Miram-Beena,1999,1999-06-28,-33.909506,150.979817,Miram-Beena,0,1,1,Miram-Beena,,,,,,
Galium gaudichaudii,Missing,26,1999,1999-06-28,-33.902277,150.978906,Lansdowne,1999,1999-06-28,-33.902277,150.978906,Lansdowne,0,1,1,Lansdowne,,,,,,
Bossiaea rhombifolia,Missing,26,1999,1999-04-15,-33.974555,151.029417,Not in a reserve,1999,1999-04-15,-33.974555,151.029417,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Deyeuxia quadriseta,Missing,26,1999,1999-02-11,-33.900784,150.997609,Carysfield,1999,1999-02-11,-33.900784,150.997609,Carysfield,0,2,2,Carysfield,5e-06,1.4e-05,-33.900784,-33.900779,150.997595,150.997609
Dockrillia linguiformis,Missing,26,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Pultenaea retusa,Recent,25,2000,2000-06-29,-33.940003,151.08831,Not in a reserve,1997,1997-11-18,-33.940094,151.088106,Not in a reserve,3,2,2,Not in a reserve,9.1e-05,0.000204,-33.940094,-33.940003,151.088106,151.08831
Pultenaea tuberculata,Recent,25,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Grevillea buxifolia,Recent,25,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Phalaris canariensis,Recent,25,2000,2000-07-05,-33.896681,151.028616,Not in a reserve,2000,2000-07-05,-33.896681,151.028616,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Dillwynia sericea,Recent,25,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Cotoneaster pannosus,Recent,25,2000,2000-06-29,-33.940003,151.08831,Not in a reserve,2000,2000-06-29,-33.940003,151.08831,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Xanthorrhoea resinosa,Recent,25,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,1999,1999-02-15,-33.903692,151.095678,Not in a reserve,1,3,3,Not in a reserve,0.025298,0.07116,-33.928986,-33.903688,151.024518,151.095678
Conospermum ericifolium,Recent,25,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,2000,2000-06-01,-33.928986,151.024518,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Diuris sulphurea,Recent,25,2000,2000-09-17,-33.971584,150.998656,Not in a reserve,2000,2000-09-17,-33.971584,150.998656,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Xylomelum pyriforme,Recent,24,2001,2001-12-21,-33.972089,150.995906,Lambeth Reserve,2001,2001-12-21,-33.972089,150.995906,Lambeth Reserve,0,1,1,Lambeth Reserve,,,,,,
Pistacia chinensis,Recent,24,2001,2001-12-01,-33.90605,151.067873,Not in a reserve,2001,2001-12-01,-33.90605,151.067873,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Oxalis chnoodes,Recent,24,2001,2001-12-01,-33.90605,151.067873,Not in a reserve,2001,2001-12-01,-33.90605,151.067873,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Paraserianthes lophantha,Recent,24,2001,2001-12-21,-33.972098,150.995917,Lambeth Reserve,2001,2001-12-21,-33.972098,150.995917,Lambeth Reserve,0,1,1,Lambeth Reserve,,,,,,
Crinum pedunculatum,Recent,24,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,0,1,1,Lambeth Reserve,,,,,,
Gahnia erythrocarpa,Recent,24,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,0,1,1,Lambeth Reserve,,,,,,
Lagurus ovatus,Recent,24,2001,2001-12-21,-33.972962,150.996914,Not in a reserve,2001,2001-12-21,-33.972962,150.996914,Not in a reserve,0,1,1,Not in a reserve,,,,,,
